type_mix,G,S,strategy,mean_avg_reward,pct_oracle,comp_saving_pct,walltime_s,is_best_non_oracle
Homo.,5,20,Oracle,6872.802959998947,100.0,100.0,0.0353350624999966,False
Homo.,5,20,State Thompson,4364.06008442069,62.47315350221278,100.0,0.0472323539999983,False
Homo.,5,20,TW,4053.5881677355455,54.706725664068,25.937500000000004,8.776201021000006,False
Homo.,5,20,Local UCB+TW,3594.9302711346563,49.61782467176186,24.5,9.088116917000004,False
Homo.,5,20,Global UCB+TW,4472.72689473596,60.7012546647414,31.03125,8.220535833499998,False
Homo.,5,20,EXP4,3505.820663889668,50.11670777350249,26.625,8.783322499999993,False
Homo.,5,20,TM--TW,4441.673657909533,63.02667620269696,22.8125,9.1826929375,False
Homo.,5,20,Adp. TM--TW,4013.843352335841,57.44111791568344,25.28125,8.91471329150001,False
Homo.,5,20,Adp. TM--TW + beta gate prior,3844.197291030148,58.22012936324823,25.843750000000004,8.951573250500001,False
Homo.,5,20,Adp. TM--TW + beta gate + low-rank,3798.777925007425,55.11397186795711,25.71875,8.991455375499996,False
Homo.,5,20,Adp. TM--TW + support/offline prior,4727.554014292674,65.52375804226719,24.156250000000004,9.171034791499991,True
Homo.,10,40,Oracle,4765.167910617429,100.0,100.0,0.0344675624999979,False
Homo.,10,40,State Thompson,1905.0260693673995,45.00225235865527,100.0,0.0543652085000019,False
Homo.,10,40,TW,2659.7219161543994,53.52120796148971,53.84375,11.577999020999997,False
Homo.,10,40,Local UCB+TW,3362.719156470712,67.62765420268883,52.265625,11.999311895999996,False
Homo.,10,40,Global UCB+TW,2513.6209085187124,46.49982126622604,54.25,11.401743270500006,False
Homo.,10,40,EXP4,2307.942642354991,56.67107622781363,55.84375,11.15645810400001,False
Homo.,10,40,TM--TW,2644.702085021066,54.74616818764355,56.0625,11.047672542000017,False
Homo.,10,40,Adp. TM--TW,3570.513982065323,75.11400910249566,53.015625,11.92433718800001,True
Homo.,10,40,Adp. TM--TW + beta gate prior,2727.337241491522,56.75254277707211,50.453125,12.521616853999989,False
Homo.,10,40,Adp. TM--TW + beta gate + low-rank,2919.314608426831,59.63025220938043,53.515625,12.068622374499997,False
Homo.,10,40,Adp. TM--TW + support/offline prior,2419.3993043591663,47.22759725570489,50.5625,12.27965270849998,False
Homo.,15,60,Oracle,2663.3671004894413,100.0,100.0,0.0342656454999712,False
Homo.,15,60,State Thompson,578.0023065636159,27.972950052842503,100.0,0.0460789375000274,False
Homo.,15,60,TW,994.9034400277344,37.251729110668265,64.10416666666667,14.179917500499954,False
Homo.,15,60,Local UCB+TW,601.9748229225415,29.492640833609705,66.42708333333333,13.390723999999947,False
Homo.,15,60,Global UCB+TW,1910.219617377516,58.11015669463772,68.76041666666667,12.463873020999984,False
Homo.,15,60,EXP4,2174.8020205109187,69.08376156967229,71.91666666666667,11.103750124999976,True
Homo.,15,60,TM--TW,1317.980865999584,43.91956679435539,65.76041666666667,13.762949249999965,False
Homo.,15,60,Adp. TM--TW,727.6258992351098,39.22959774586956,69.60416666666666,11.925931791999972,False
Homo.,15,60,Adp. TM--TW + beta gate prior,1221.29890901548,55.3057353772588,67.52083333333334,12.824710937499988,False
Homo.,15,60,Adp. TM--TW + beta gate + low-rank,1618.8241439891804,57.02564073555541,68.90625,12.942283083000008,False
Homo.,15,60,Adp. TM--TW + support/offline prior,1109.3125422237115,42.85840880606137,67.46875,12.951028979,False
Heter.,5,60,Oracle,6328.309806832651,100.0,100.0,0.040154396000009,False
Heter.,5,60,State Thompson,4064.886067457716,64.42752202109071,100.0,0.0512788540000057,False
Heter.,5,60,TW,3915.608522907697,59.7605903101432,44.26041666666667,22.421627916500007,False
Heter.,5,60,Local UCB+TW,3928.243468781901,60.599816735710434,45.98958333333333,21.197527563,False
Heter.,5,60,Global UCB+TW,3571.2181482228584,54.97686852998099,49.57291666666667,19.6424356045,False
Heter.,5,60,EXP4,3780.640965439788,59.96129963627117,50.97916666666666,19.4699628335,False
Heter.,5,60,TM--TW,3389.0780682646227,52.55332362763177,44.53125,21.759166437500003,False
Heter.,5,60,Adp. TM--TW,3782.909366278624,58.06152815805821,45.77083333333333,21.75616300000001,False
Heter.,5,60,Adp. TM--TW + beta gate prior,3535.460880332078,56.76415326002972,45.4375,21.351036812000004,False
Heter.,5,60,Adp. TM--TW + beta gate + low-rank,4828.320621617288,73.1587037115566,44.69791666666666,22.137584812499995,True
Heter.,5,60,Adp. TM--TW + support/offline prior,3046.389191943954,49.11004361360359,46.32291666666666,21.417248458500023,False
Heter.,10,120,Oracle,5073.91338000727,100.0,100.0,0.0379780829999276,False
Heter.,10,120,State Thompson,1429.778910979571,30.425364955985813,100.0,0.0534740835000774,False
Heter.,10,120,TW,2863.971978597103,53.35826791157172,67.49479166666666,91.46034372899992,False
Heter.,10,120,Local UCB+TW,2214.9527861938664,41.850909225448405,68.484375,86.54645433350007,False
Heter.,10,120,Global UCB+TW,2772.3740670639,50.4869169227748,70.82291666666667,81.76023235399998,False
Heter.,10,120,EXP4,2087.961889200993,38.14840548432724,71.10416666666666,81.06192325,False
Heter.,10,120,TM--TW,2527.807277977342,47.93697218151463,68.29166666666666,84.22140431250006,False
Heter.,10,120,Adp. TM--TW,2744.747456532268,53.10573482047663,69.29166666666667,87.11191122899999,False
Heter.,10,120,Adp. TM--TW + beta gate prior,2863.5602206089893,54.78370445915466,67.78645833333334,87.426207438,True
Heter.,10,120,Adp. TM--TW + beta gate + low-rank,2519.043522330651,48.96809231309554,69.6875,87.44260141649994,False
Heter.,10,120,Adp. TM--TW + support/offline prior,2645.4464157925995,49.4576106655913,69.42708333333334,91.98832858349988,False
Heter.,15,180,Oracle,2994.829778282996,100.0,100.0,0.040912916499792,False
Heter.,15,180,State Thompson,797.3827900813392,30.63575380679675,100.0,0.0541705625000758,False
Heter.,15,180,TW,500.0779751692309,23.19383846168945,78.80208333333333,92.26157285449996,False
Heter.,15,180,Local UCB+TW,558.3210683366842,25.648567639410548,78.93402777777777,93.33360495800002,False
Heter.,15,180,Global UCB+TW,2475.4022503880587,77.16041136893917,80.07638888888889,89.43948174999991,True
Heter.,15,180,EXP4,2449.7920806490765,74.90371842703205,81.46527777777777,80.92967393749996,False
Heter.,15,180,TM--TW,618.7770464891476,27.616605083370462,78.34027777777777,95.7905974790001,False
Heter.,15,180,Adp. TM--TW,683.6223459681001,30.18264561574753,79.77083333333334,88.16073364600015,False
Heter.,15,180,Adp. TM--TW + beta gate prior,544.9793707212208,26.80093489146504,79.25,94.44788339549996,False
Heter.,15,180,Adp. TM--TW + beta gate + low-rank,674.2288362626899,24.662293520533424,78.64236111111111,96.83548391699992,False
Heter.,15,180,Adp. TM--TW + support/offline prior,527.8153840489715,22.676607036941792,79.08680555555556,98.28527093749994,False
