computation,queue_states,grid_states,op_states,S,arms,budget,rounds,policy_label,display_name,policy,transition_variant,gate_mode,n,mean_avg_reward,mean_cum_reward,mean_walltime_seconds,mean_replan_calls,mean_event_replans,mean_states_computed,mean_computation_saving_pct
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,3505.820663889668,876455.165972417,8.783322499999993,10.0,0.0,1174.0,26.625
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,4472.72689473596,1118181.7236839898,8.220535833499998,10.0,0.0,1103.5,31.03125
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,3594.9302711346563,898732.5677836641,9.088116917000004,10.0,0.0,1208.0,24.5
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,oracle,oracle,oracle,dense,deterministic,2,6872.802959998947,1718200.7399997367,0.03533506249999663,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,4364.06008442069,1091015.0211051726,0.04723235399999837,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,4441.673657909533,1110418.4144773833,9.182692937499997,10.0,0.0,1235.0,22.812499999999996
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,4013.843352335841,1003460.8380839601,8.91471329150001,10.0,0.0,1195.5,25.28125
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,3844.197291030148,961049.322757537,8.951573250500001,10.0,0.0,1186.5,25.843750000000004
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,3798.777925007425,949694.4812518563,8.991455375499996,10.0,0.0,1188.5,25.71875
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_support_offline,Adaptive + support/offline,tm_tw_refined,support_offline,deterministic,2,4727.554014292674,1181888.5035731685,9.171034791499991,10.0,0.0,1213.5,24.15625
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tw_dense,TW,tw,dense,deterministic,2,4053.5881677355464,1013397.0419338867,8.776201021000006,10.0,0.0,1185.0,25.937500000000004
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,2307.942642354991,576985.6605887478,11.15645810400001,10.0,0.0,1413.0,55.84375
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,2513.6209085187124,628405.2271296781,11.401743270500006,10.0,0.0,1464.0,54.25
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,3362.719156470712,840679.789117678,11.999311895999995,10.0,0.0,1527.5,52.265625
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,oracle,oracle,oracle,dense,deterministic,2,4765.167910617429,1191291.977654357,0.03446756249999794,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,1905.0260693673993,476256.5173418498,0.05436520850000193,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,2644.7020850210656,661175.5212552664,11.047672542000015,10.0,0.0,1406.0,56.0625
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,3570.513982065323,892628.4955163307,11.92433718800001,10.0,0.0,1503.5,53.015625
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,2727.3372414915225,681834.3103728807,12.521616853999987,10.0,0.0,1585.5,50.453125
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,2919.314608426831,729828.6521067077,12.068622374499995,10.0,0.0,1487.5,53.515625
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tm_tw_refined_support_offline,Adaptive + support/offline,tm_tw_refined,support_offline,deterministic,2,2419.3993043591663,604849.8260897916,12.279652708499981,10.0,0.0,1582.0,50.5625
Event-Driven TW (M1+M3),4,10,1,40,8,2,250,tw_dense,TW,tw,dense,deterministic,2,2659.7219161543994,664930.4790385999,11.577999020999997,10.0,0.0,1477.0,53.84375
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,2174.8020205109187,543700.5051277296,11.103750124999976,10.0,0.0,1348.0,71.91666666666667
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,1910.219617377516,477554.90434437897,12.463873020999984,10.0,0.0,1499.5,68.76041666666667
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,601.9748229225415,150493.70573063538,13.390723999999949,10.0,0.0,1611.5,66.42708333333333
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,oracle,oracle,oracle,dense,deterministic,2,2663.367100489441,665841.7751223601,0.03426564549997124,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,578.0023065636159,144500.57664090398,0.04607893750002745,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,1317.980865999584,329495.216499896,13.762949249999963,10.0,0.0,1643.5,65.76041666666667
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,727.6258992351098,181906.47480877745,11.925931791999972,10.0,0.0,1459.0,69.60416666666666
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,1221.2989090154801,305324.72725387005,12.824710937499987,10.0,0.0,1559.0,67.52083333333334
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,1618.8241439891804,404706.03599729505,12.942283083000007,10.0,0.0,1492.5,68.90625
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tm_tw_refined_support_offline,Adaptive + support/offline,tm_tw_refined,support_offline,deterministic,2,1109.3125422237115,277328.1355559279,12.951028979,10.0,0.0,1561.5,67.46875
Event-Driven TW (M1+M3),4,15,1,60,8,2,250,tw_dense,TW,tw,dense,deterministic,2,994.9034400277344,248725.8600069336,14.179917500499954,10.0,0.0,1723.0,64.10416666666667
