grid_rank_low_to_high,region_code,region_name,year,mean_carbon_intensity_direct_gco2eq_per_kwh,mean_carbon_intensity_lca_gco2eq_per_kwh,mean_electricity_price_usd_per_mwh,carbon_hour_count,electricity_price_hour_count,carbon_direct_norm,carbon_lca_norm,electricity_price_norm,combined_direct_carbon_electricity_norm,combined_lca_carbon_electricity_norm
1,BR-SP,"São Paulo, Brazil",2023,56.11971917808204,90.26862899543384,12.618651860636785,8760,8760,0.014252770941805411,0.025759078685227144,0.0,0.0071263854709027056,0.012879539342613572
2,CA-ON,"Ontario, Canada",2023,46.93829794520536,72.84708675799091,20.01051731464039,8760,8760,0.0,0.0,0.042905568819588555,0.021452784409794277,0.021452784409794277
3,US-NY-NYIS,"New York, USA (NYISO)",2023,209.67985045662067,277.7621837899537,36.38787100456621,8760,8760,0.2526317017623925,0.3029825968502793,0.13796677903754068,0.1952992403999666,0.22047468794390998
4,US-CAL-CISO,"California, USA (CAISO)",2023,193.95558447488563,260.7481312785387,61.52319328995439,8760,8760,0.22822215169587473,0.2778260227982881,0.2838630087279972,0.25604258021193593,0.2808445157631426
5,US-MIDA-PJM,"Mid-Atlantic, USA (PJM)",2023,321.8161757990873,392.4031666666679,35.73868936906392,8760,8760,0.4267064249260512,0.47248803203076967,0.13419864939397821,0.2804525371600147,0.30334334071237395
6,US-TEX-ERCO,"Texas, USA (ERCOT)",2023,316.7222808219178,380.5493881278534,55.93479109589043,8760,8760,0.4187989216681419,0.454961316546171,0.25142551694450105,0.3351122193063215,0.353193416745336
7,AU-VIC,"Victoria, Australia",2023,458.21366324200886,504.3513778538808,54.81931891690888,8760,8760,0.6384429411203575,0.6380119989298734,0.24495083627837677,0.44169688869936713,0.44148141760412507
8,DE-LU,Germany/Luxembourg,2023,307.6619486301367,366.9715376712326,102.56681292018246,8760,8760,0.4047341231896974,0.43488542926125306,0.5220978437108185,0.4634159834502579,0.47849163648603577
9,CL-SIC,Central Chile (SIC),2023,220.62682990867543,275.61041210045767,126.4090898095835,8760,8760,0.26962523540793487,0.29980103832308724,0.6604886813497558,0.4650569583788453,0.4801448598364215
10,JP-TK,"Tokyo, Japan",2023,449.85317009132456,539.662195205482,89.27642080479451,8760,8760,0.6254645371440156,0.6902217350257223,0.44495468721068987,0.5352096121773527,0.567588211118206
11,KR,South Korea,2023,378.2092408675786,439.73606506849296,110.98096260273904,8760,8760,0.5142481484502321,0.5424733317083159,0.5709371902208009,0.5425926693355165,0.5567052609645584
12,AU-NSW,"New South Wales, Australia",2023,502.1011004566213,554.2200182648421,95.9515252179325,8760,8760,0.7065715645629782,0.7117465865320209,0.48369986642938234,0.5951357154961803,0.5977232264807016
13,ZA,South Africa,2023,644.5356997716899,702.125062785389,72.21921936529324,8760,8760,0.9276797859085149,0.9304354734181909,0.34594734802329696,0.6368135669659059,0.6381914107207439
14,IN-WE,Western India,2023,691.1232968036562,749.1733812785402,61.85103332042083,8760,8760,1.0,1.0,0.285765933378956,0.642882966689478,0.642882966689478
15,SG,Singapore,2023,369.19970662100377,488.0854805936048,184.9008440647603,8760,8760,0.5002622061160572,0.6139616294675905,1.0,0.7501311030580287,0.8069808147337952
